
[2025-04-23 11:01:37] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:53:57] Cuenta: 1001 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-17 12:53:57] Cuenta: 1000 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-17 12:54:49] Cuenta: 1001 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-17 12:54:57] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:54:57] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:55:00] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-17 12:55:12] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-17 12:55:21] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 12:55:24] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:55:24] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:55:24] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-17 12:55:34] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:55:34] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:55:56] Cuenta: 1000 | Operación: Transferencia fallida | Descripcion: Cuenta no encontrada
[2025-05-17 12:56:12] Cuenta: 1000 | Operación: Transferencia fallida | Descripcion: Cuenta no encontrada
[2025-05-17 12:56:50] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 12:56:56] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 12:56:57] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 12:56:57] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-17 12:57:08] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 12:57:08] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 12:57:16] Cuenta: 1000 | Operación: Transferencia fallida | Descripcion: Cuenta no encontrada
[2025-05-17 12:57:26] Cuenta: 1000 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-17 12:57:26] Cuenta: 1002 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-17 12:57:39] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 13:01:34] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 13:01:34] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 13:01:34] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-17 13:01:41] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 13:01:41] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 13:01:46] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 13:11:56] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 13:11:56] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 13:11:56] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-17 13:12:02] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 13:12:02] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 13:12:08] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 14:11:52] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 14:11:52] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 14:11:52] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-17 14:12:00] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 14:12:00] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 14:13:25] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-17 14:15:27] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 14:15:27] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 14:15:27] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-17 14:16:43] | Operación: Main | Descripcion: Banco iniciado
[2025-05-17 14:16:43] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-17 14:16:43] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-17 14:16:51] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 14:16:51] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 14:16:55] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 14:17:17] | Operación: Login | Descripcion: Login exitoso
[2025-05-17 14:17:17] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-17 14:17:30] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 14:17:32] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-17 14:17:40] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-17 14:18:40] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-17 14:18:42] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-18 10:37:32] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 10:37:32] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 10:37:32] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 10:37:48] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 10:37:48] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 10:38:02] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 10:38:16] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-18 10:38:19] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 10:39:04] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 10:39:14] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 10:39:31] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 10:39:31] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 10:39:48] Cuenta: 1001 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-18 10:39:48] Cuenta: 1000 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-18 10:40:03] Cuenta: 1001 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-18 10:40:06] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 10:40:11] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-18 10:40:14] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 10:40:26] | Operación: Login | Descripcion: Cuenta no encontrada
[2025-05-18 10:40:26] | Operación: Login | Descripcion: Cuenta no encontrada
[2025-05-18 10:40:26] | Operación: Login | Descripcion: Cuenta no encontrada
[2025-05-18 10:40:26] | Operación: Login | Descripcion: Demasiados intentos de login
[2025-05-18 12:06:21] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 12:06:21] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 12:06:21] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 12:06:33] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 12:06:33] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 12:07:04] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 12:07:21] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-18 12:07:24] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 12:07:37] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 12:07:37] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 12:07:58] Cuenta: 1001 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 12:08:11] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-18 12:08:17] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 12:08:17] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 12:08:17] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 12:24:14] | Operación: Login | Descripcion: Cuenta no encontrada
[2025-05-18 12:24:14] | Operación: Login | Descripcion: Cuenta no encontrada
[2025-05-18 12:24:14] | Operación: Login | Descripcion: Cuenta no encontrada
[2025-05-18 12:24:14] | Operación: Login | Descripcion: Demasiados intentos de login
[2025-05-18 12:43:24] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 12:43:24] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 12:43:24] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 12:48:42] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 12:48:42] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 12:48:42] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 12:49:03] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 12:49:03] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 12:49:18] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 12:49:18] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 12:50:01] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 12:50:33] Cuenta: 1001 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 12:50:38] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 12:51:06] Cuenta: 1000 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-18 12:51:06] Cuenta: 1001 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-18 12:51:08] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 12:51:26] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 12:51:27] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 12:51:29] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-18 12:51:36] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 12:51:36] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 12:51:36] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 13:02:25] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 13:02:25] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 13:02:25] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 13:02:44] | Operación: Login | Descripcion: Cuenta no encontrada
[2025-05-18 13:02:56] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 13:02:56] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 13:03:36] Cuenta: 1001 | Operación: Transferencia fallida | Descripcion: Cuenta no encontrada
[2025-05-18 13:03:58] Cuenta: 1001 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-18 13:04:03] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 13:04:05] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 13:04:07] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-18 15:43:28] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 15:43:28] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 15:43:28] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 15:43:52] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 15:43:52] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 15:44:35] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 15:44:56] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 15:44:56] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 15:45:43] Cuenta: 1001 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 15:46:29] Cuenta: 1001 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-18 15:46:34] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:02:20] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-18 16:16:24] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 16:16:24] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 16:16:24] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 16:16:33] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 16:16:33] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 16:16:53] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 16:17:04] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 16:17:04] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 16:17:14] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 16:17:47] Cuenta: 1001 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:17:52] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:18:18] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:18:23] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:18:46] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 16:18:46] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 16:19:21] Cuenta: 1005 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:19:46] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-18 16:19:51] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:19:53] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 16:19:58] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:20:29] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:20:34] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:20:53] Cuenta: 1001 | Operación: Consulta | Descripcion: Consulta de saldo realizada
[2025-05-18 16:20:58] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:21:21] Cuenta: 1001 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:21:26] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:21:50] Cuenta: 1005 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:21:53] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 16:21:55] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:21:58] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:22:02] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 16:22:07] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:22:35] Cuenta: 1001 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:22:40] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:22:50] Cuenta: 1005 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 16:22:55] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:23:23] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:23:28] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:23:57] | Operación: Login | Descripcion: Cuenta no encontrada
[2025-05-18 16:24:26] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 16:24:26] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 16:24:26] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 16:24:43] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 16:24:43] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 16:24:58] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 16:24:58] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 16:25:13] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 16:25:13] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 16:25:25] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 16:25:35] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 16:25:40] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:26:05] Cuenta: 1005 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:26:10] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:26:11] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 16:26:16] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:26:42] Cuenta: 1001 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:26:47] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:27:37] Cuenta: 1005 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-18 16:27:37] Cuenta: 1001 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-18 16:27:42] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:28:07] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 16:28:12] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 16:28:19] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-18 16:28:25] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 16:28:25] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 16:28:25] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 17:14:06] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 17:14:06] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 17:14:06] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 17:14:16] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 17:14:16] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 17:14:34] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 17:14:34] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 17:14:49] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 17:14:49] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 17:15:17] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 17:15:32] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 17:15:37] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:16:17] Cuenta: 1005 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 17:16:22] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:16:57] Cuenta: 1005 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 17:17:02] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:17:14] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 17:17:19] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:17:53] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 17:17:58] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:18:36] Cuenta: 1005 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-18 17:18:36] Cuenta: 1000 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-18 17:18:41] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:18:54] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:18:56] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:18:57] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:19:03] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-18 17:19:10] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 17:19:10] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 17:19:10] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 17:28:33] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 17:28:33] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 17:28:33] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-18 17:28:44] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 17:28:44] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 17:28:56] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 17:29:15] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 17:29:15] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 17:29:30] | Operación: Login | Descripcion: Login exitoso
[2025-05-18 17:29:30] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-18 17:30:01] Cuenta: 1001 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 17:30:37] Cuenta: 1005 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-18 17:30:42] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:30:49] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 17:30:54] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:31:07] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-18 17:31:12] Cuenta: 1001 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:32:03] Cuenta: 1005 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-18 17:32:03] Cuenta: 1000 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-18 17:32:08] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-18 17:32:13] | Operación: Main | Descripcion: Cerrando terminales
[2025-05-18 17:32:18] | Operación: Main | Descripcion: Banco iniciado
[2025-05-18 17:32:18] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-18 17:32:18] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-19 12:26:37] | Operación: Main | Descripcion: Banco iniciado
[2025-05-19 12:26:37] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-19 12:26:37] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-19 12:26:53] | Operación: Login | Descripcion: Login exitoso
[2025-05-19 12:26:53] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-19 12:26:57] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:26:59] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:01] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:03] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:05] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:07] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:09] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:11] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:13] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:15] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:17] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:19] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:21] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:23] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:25] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:27:46] | Operación: Main | Descripcion: Banco iniciado
[2025-05-19 12:27:46] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-19 12:27:46] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-19 12:27:58] | Operación: Login | Descripcion: Login exitoso
[2025-05-19 12:27:58] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-19 12:29:03] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-19 12:30:28] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-19 12:30:33] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-19 12:32:56] | Operación: Login | Descripcion: Login exitoso
[2025-05-19 12:32:56] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-19 12:33:08] | Operación: Login | Descripcion: Login exitoso
[2025-05-19 12:33:08] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-19 12:33:36] Cuenta: 1001 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-19 12:34:25] Cuenta: 1005 | Operación: Transferencia realizada | Descripcion: Transferencia realizada por usuario
[2025-05-19 12:34:25] Cuenta: 1000 | Operación: Transferencia recibida | Descripcion: Transferencia recibida por usuario
[2025-05-19 12:34:30] Cuenta: 1005 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-19 12:35:41] | Operación: Main | Descripcion: Banco iniciado
[2025-05-19 12:35:41] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-19 12:35:41] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-19 12:46:20] | Operación: Main | Descripcion: Banco iniciado
[2025-05-19 12:46:20] | Tipo: Monitor | Descripcion: Activo, escuchando
[2025-05-19 12:46:20] | Tipo: Monitor | Descripcion: Alerta de anomalia retiro
[2025-05-19 12:46:28] | Operación: Main | Descripcion: Error de usuario opcion del menu
[2025-05-19 12:46:34] | Operación: Login | Descripcion: Login exitoso
[2025-05-19 12:46:34] | Operación: Main | Descripcion: Abriendo terminal
[2025-05-19 12:47:00] Cuenta: 1000 | Operación: Depósito | Descripcion: Usuario ha realizado un depósito
[2025-05-19 12:47:47] Cuenta: 1000 | Operación: Retiro | Descripcion: Usuario ha realizado un retiro
[2025-05-19 12:47:52] Cuenta: 1000 | Operación: Error | Descripcion: Fallo al liberar semáforos
[2025-05-19 12:48:13] Cuenta: 1000 | Operación: Consulta | Descripcion: Consulta de saldo realizada
